,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit,tenencia_ahorros,tenencia_corriente,tenencia_cdt,tenencia_tdc,tenencia_lb,tenencia_vehiculo,ingresos,egresos,saldo_captacion,saldo_tdc,monto_trx_tdc,cantidad_trx_tdc,saldo_lb,saldo_veh,monto_trx_debito,cantidad_trx_debito
10238,30,services,,secondary,0,826.2202988147077,1,1,unknown,51.82497073487674,1,-1,0,unknown,0,1.0,0.0,0.0,1.0,0.0,1.0,,,13776.552535484629,4949.257194347596,1452.5530717298957,,,87054.18415219356,3214.6865876471793,-4.157439311155493
10364,53,admin.,divorced,,0,231.0356154400057,1,1,cellular,569.645886277946,1,-1,0,unknown,0,1.0,0.0,1.0,1.0,0.0,1.0,950.8765847309744,1444.324049408322,8386.214712418527,3830.474592888566,1337.5419868822646,17.58042474695744,,80325.671870583,202.37436266704754,-3.1715148825821053
10394,37,blue-collar,married,secondary,0,48.45303456416849,1,1,unknown,412.04261152500624,1,-1,0,unknown,0,1.0,1.0,0.0,1.0,0.0,1.0,,3870.602080270565,17146.042018211294,1310.773685804379,1189.3486907821007,43.59678036138703,,152990.2051727702,3163.5356376112327,48.79962652760318
10851,31,services,married,,0,1819.2017150747795,1,1,cellular,253.9574615979794,1,-1,0,unknown,0,1.0,0.0,0.0,1.0,0.0,1.0,3458.3328751589834,,11541.294800321188,8538.11844393554,712.0736371037224,19.490769516438178,,43193.69074943518,2080.1143383186254,8.324427508544941
10998,33,blue-collar,married,primary,0,-62.66939001909033,1,1,cellular,186.65389036582974,6,-1,0,unknown,0,1.0,0.0,0.0,1.0,0.0,1.0,2790.213861896688,2621.276882098518,8411.90178186592,3451.596028662607,2262.396220638927,21.288492284513545,,49373.50956505137,4288.707332060645,41.911809231622705
11015,41,management,married,tertiary,0,202.15010873635595,1,1,unknown,162.28229408817072,3,-1,0,unknown,0,1.0,1.0,1.0,1.0,0.0,1.0,5794.853110846509,4529.870988429092,7063.609665092866,3146.9168211672286,633.489903969341,5.447240956242814,,31585.49665595721,3743.3405824237307,33.58882789148247
11018,37,admin.,married,secondary,0,,1,1,cellular,182.79516286864887,2,351,1,failure,0,1.0,0.0,,1.0,0.0,1.0,,2071.030561561552,8864.030076104113,11344.636717148202,2369.452813823086,12.155946228095749,,72207.61349629947,,32.77003922221779
9,28,services,single,secondary,0,5144.267541175789,1,0,unknown,1337.6746837140638,3,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,5556.612258465608,5320.073455093194,14216.551890455152,4372.382185013745,1863.4510441495465,53.70818990564994,,40750.35299431512,3284.5027450526354,18.293750326444172
20,28,admin.,divorced,secondary,0,850.4051643996564,1,0,unknown,429.13708404499243,2,-1,0,unknown,1,,0.0,0.0,1.0,0.0,1.0,4864.216641885702,4607.635597299695,5262.525060982257,6266.015941941105,1007.8458858074708,39.66893626997806,,-15554.128766649315,4027.010959977095,26.94034084354233
34,33,blue-collar,divorced,,0,,1,0,unknown,727.9151400104793,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,939.1805073345394,714.6050008987667,11649.97195533747,,1365.9976916182168,21.022196534270726,,26026.532476796274,3744.913703022885,31.46938306113157
41,48,management,,tertiary,0,1994.545305908218,1,0,unknown,703.8658333269583,2,-1,0,unknown,1,1.0,,0.0,1.0,,1.0,,2479.7925933578745,12558.849862615964,-2196.0016283337754,1692.1041562626317,52.19260069317047,,62023.05317636477,,19.48371808157329
81,37,services,divorced,secondary,0,93.49799408039928,1,0,unknown,657.1723360038227,2,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,,2299.9412793631263,10812.297148342197,13119.693114942398,1133.2891364059888,29.015228406885306,,88274.04537853163,,-9.294644520407552
87,30,technician,single,,0,946.0300060800545,1,0,unknown,1236.4196084051816,5,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,,6080.622272138712,6065.039181790151,31751.616224227782,1227.7544680195615,18.162661861801006,,16405.63637977912,5202.000405336963,28.10991353754668
126,35,self-employed,divorced,tertiary,0,1427.4008140601588,1,0,unknown,787.2633250377291,2,-1,0,unknown,1,1.0,0.0,,1.0,0.0,1.0,4625.708510536058,4425.563885458429,5027.946377414758,14968.639890046361,725.3902342058011,,,42851.62040803836,4560.054270677259,9.981222980262753
127,30,blue-collar,single,secondary,0,,1,0,unknown,829.3480349613726,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,2451.743342726493,2276.7102434993208,11246.274461750074,7834.823682392132,420.81204275831453,,,56098.149447374206,1741.11679189244,8.456779362863896
140,37,blue-collar,,secondary,0,332.5969169108103,1,0,unknown,654.8687947368717,2,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,,2605.2678731053666,8074.435220589775,11065.626646952536,,4.9444313484969005,,39600.950296108356,773.1277940540194,
159,28,management,married,,0,,1,0,unknown,536.6662781748772,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,3218.518758606926,3071.525184459896,,16309.948061891833,,18.75369872169237,,74872.5862167743,2865.179950106291,32.71688986537002
167,45,unemployed,divorced,secondary,0,3438.8431994502316,1,0,unknown,768.4718183965241,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,1749.0517623276642,1545.2906981864558,12792.272097630004,2287.627395762446,1610.0192102604783,28.891002904945026,,60112.023575310515,5322.879963348787,18.633473907216363
175,30,blue-collar,married,secondary,0,535.1741184119606,1,0,unknown,1122.6755653992218,3,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,4083.440194302863,,12867.563151075943,-86.58964752198153,,9.835071297519242,,68995.44560554728,2944.941227464044,2.5275739068917673
196,31,unemployed,divorced,primary,0,102.39305267683918,1,0,unknown,782.5612186443688,12,-1,0,unknown,1,0.0,1.0,0.0,1.0,0.0,1.0,2951.4645903938863,2702.272021590372,8880.696771353694,,-499.6682270300814,24.22518145715501,,39693.982079129746,6492.870178455945,16.34091045351499
198,53,entrepreneur,single,secondary,0,88.74789138779695,1,0,unknown,1077.2059692274313,5,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,,,10249.310572873157,,703.7060220340104,-0.9222673955070455,,103023.01718459076,1449.8594258531302,20.779708067678705
221,25,management,married,primary,0,222.24921612997417,1,0,unknown,851.2310154536248,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,2661.621473384239,2402.0726248672386,15588.781603424019,,2107.4601201815467,29.219446432367516,,59989.49975476603,3283.2810753316103,26.295662025773154
238,59,retired,,primary,0,,1,0,unknown,962.8644455242762,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,3406.729294119869,,14628.155050208268,14427.514567075345,2805.9528420237953,35.22387321020376,,96219.38937857264,-2032.6077219314984,
253,35,blue-collar,,secondary,0,,1,0,unknown,913.7985167141711,4,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,4017.4296975681464,4004.521833894115,13822.791201349755,1764.9060677905818,806.918631531755,5.425210374153179,,47708.06541734423,1808.6642381794193,38.439009540611465
336,26,blue-collar,single,secondary,0,-5.273639559255862,1,0,unknown,411.8120474588825,7,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,,2109.37602842974,1948.6742172550762,13799.757197348361,-8745.978440163079,-2456.440099254795,32.60810397170505,,76521.10499650324,2381.7573627162756,
354,43,management,,tertiary,0,214.32813323476267,1,0,unknown,709.9725639843543,2,-1,0,unknown,1,1.0,1.0,1.0,1.0,0.0,1.0,1695.5090824839097,,10294.430185534926,2120.6584900291964,2188.2743766723024,35.18993409549426,,40977.25407607744,4021.8755489841783,2.6598467342061767
417,26,blue-collar,single,secondary,0,72.31985516013407,1,0,cellular,991.4805241290002,4,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,,3255.190184741798,10868.764385529157,,1029.5039545283494,17.49535903601627,,33374.540970578455,6421.3236773422705,27.991961210883098
453,30,entrepreneur,,primary,0,,1,0,cellular,838.6205805671616,3,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,2899.2454511797455,2669.819229671362,6354.181081238275,2023.934665469602,1036.0018470386717,33.70947698334056,,58715.73279004651,3069.88717872748,48.32194863919297
454,34,blue-collar,single,,0,-15.382472551735475,1,0,cellular,906.0447143014187,4,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,6306.708410922549,6163.177067324106,9668.77755470855,824.8309380531091,1128.379306564937,,,53875.46314890414,5907.8351632176345,
473,56,blue-collar,,,0,69.85043229397948,1,0,cellular,1237.9609106174878,1,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,2037.1315818331907,,,11764.622496518663,2300.016217857062,29.227889081060226,,103097.79627034176,4323.362152931965,30.902202766090348
498,40,entrepreneur,divorced,secondary,0,3077.5905654063617,1,0,cellular,647.5233182070843,3,-1,0,unknown,1,1.0,,0.0,1.0,0.0,1.0,2748.6837696939306,,3698.6702271627346,3255.200277348993,2600.8617675894075,-2.2830422490943185,,27836.281570165516,4972.704360424128,26.570495014944797
567,33,management,divorced,tertiary,0,1026.015354295222,1,0,cellular,1518.891861796924,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,,3024.233319883838,12349.423703790173,,,8.821530902906453,,107605.26810607473,2067.690286348144,15.08529666151821
586,51,unemployed,,primary,0,1253.5497403094591,1,0,cellular,2053.8377272732964,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,2030.1144224504026,1835.0105040008646,7971.41703566029,8176.505713824594,2417.0670106055145,25.089606366401643,,77045.94244942705,5769.982687297277,32.438231685775676
589,54,management,married,,0,1151.8110716386507,1,0,cellular,1346.530940387884,3,-1,0,unknown,1,,0.0,0.0,1.0,,1.0,,1424.7462287180379,17363.48459191406,,471.9594227460127,7.145423993343915,,7320.495719350329,854.0714425767101,10.858049643123794
910,35,management,divorced,,0,64.8547583360095,1,0,telephone,222.1648525207229,1,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,,4733.633778236881,,3923.6973020165938,519.3642681413227,46.731823050150126,,66645.31558150871,3990.317222400633,
921,56,technician,married,,0,6640.4381369788125,1,0,telephone,506.71950674852985,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,3144.9627974959108,,,6687.599246193745,2524.9595335003078,13.480921280292375,,-44.43330839661212,,-1.7125439364015023
1138,37,management,married,,0,4123.455633428038,1,0,cellular,304.51580864116806,2,174,4,other,1,,0.0,1.0,1.0,0.0,1.0,4090.3409464297947,3875.0017708910773,13204.544606933203,9254.580059453127,2598.024121777225,5.37546127918306,,49652.25209055187,,0.8405398886474345
1145,54,technician,,secondary,0,2162.157891858337,1,0,cellular,304.297284872587,1,195,4,failure,1,1.0,0.0,0.0,1.0,0.0,1.0,3947.6142231495182,,18438.545339594042,4585.108078928177,1453.7327460198755,28.76369336478199,,59511.26134858702,77.19279055578772,10.453104854915335
1261,38,admin.,married,secondary,0,789.5095627406193,1,0,cellular,157.99161286257421,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,5516.284872536038,5218.903403897367,8119.399704456979,8674.210932753314,596.3187193125955,11.325077174740445,,80479.27047950184,1967.3041827079555,51.826872815156065
1310,25,self-employed,single,tertiary,0,102.53350689532897,1,0,cellular,340.01041985536307,1,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,,4706.661001678302,4408.441213631385,11771.215957973021,-821.4225341278798,706.7542123782131,-0.07048081178797361,,86725.87866333526,3702.2337930219305,42.7833871780712
1364,33,housemaid,single,tertiary,0,1154.936886107641,1,0,cellular,220.31012044469617,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,989.9556143970273,903.7328394387545,7348.07245284929,5137.254761184007,752.3504646236584,25.422821627205675,,62680.90959108377,2862.4590738427232,18.168651731104394
1392,38,blue-collar,single,tertiary,0,181.5670517623901,1,0,cellular,1190.8328266084184,1,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,,1619.1966767851882,13280.352250541515,12035.718488728873,2731.4182552945517,,,88936.62249139865,304.47011749267267,25.69860947348858
1399,47,blue-collar,married,secondary,0,1706.122195700741,1,0,cellular,1200.2018951155749,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,2116.5062282844865,1957.052102027941,10842.393498504049,10121.403296015775,1014.2098778112951,18.210994687954305,,55904.348310882095,5941.479713382738,37.81454399348677
1407,54,entrepreneur,,unknown,0,4796.116628149253,1,0,telephone,532.927299258149,6,307,5,failure,1,1.0,0.0,0.0,1.0,0.0,1.0,,3423.8037954201795,11770.212441915452,2133.3619908021983,664.5678874744566,2.933745532926334,,35990.08890728639,,28.04239514555756
1434,36,blue-collar,married,secondary,0,616.2419629922729,1,0,cellular,292.860776594661,3,-1,0,unknown,1,1.0,0.0,,1.0,0.0,1.0,,3919.8422845110913,10890.869573924838,,1929.0507655155038,30.142720837823852,,75194.06824785685,5016.130866151527,
1454,42,blue-collar,married,primary,0,2176.5568075890405,1,0,cellular,423.06643062856335,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,,1683.5139771288423,11795.263667373913,17942.747828257554,1024.9471680698744,27.12732612020974,,5171.265603227694,4570.453839269376,74.19915510624722
1456,34,technician,single,tertiary,0,955.0539669909836,1,0,cellular,750.2586592428934,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,,,9596.243116828822,,940.7910596472148,26.56277909779332,,78978.61199135473,1670.2644660655735,33.484230247367634
1461,33,management,,tertiary,0,-8.351408758361174,1,0,cellular,562.554726943281,3,328,1,failure,1,1.0,,0.0,1.0,0.0,,2156.5399186984464,1941.498401891193,,8301.902516882812,1785.54653498589,20.12564424005636,,29015.954113027215,-890.0939172240783,33.34567378911023
1509,43,management,married,tertiary,0,262.5372689530488,1,0,cellular,481.45802672785413,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,3562.3526547934034,3268.153323192748,7591.719221616078,5812.771701760175,403.27281839105933,-13.925355063302142,,49941.725320099315,1169.1512635365877,3.941103998642564
1547,46,management,married,primary,0,3315.754675478197,1,0,cellular,1573.3853714372704,1,-1,0,unknown,1,1.0,,0.0,1.0,0.0,1.0,3393.4621724941303,3156.576886844397,11687.487221839277,-1316.1926990610136,1395.99565654328,,,74150.6932770817,5450.311698546462,22.438785623072572
1570,32,management,single,tertiary,0,837.3936177889906,1,0,cellular,139.8139104274774,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,4168.829224054609,3940.1240674319306,7037.583812303394,5319.80477913728,-590.3353380141762,10.825864335285184,,94102.34522243773,892.90785259937,17.891234058601768
1765,33,services,single,secondary,0,563.4813105297218,1,0,cellular,321.27826996130926,4,334,1,other,1,1.0,0.0,0.0,1.0,0.0,1.0,3392.9942197322075,,5628.661081491526,2644.1199589226953,1700.9457149826133,28.368834159304246,,5660.932997782991,4632.087368648122,-0.6344039926922136
1770,38,management,divorced,tertiary,0,6399.627790806136,1,0,cellular,948.3885641366579,4,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,2484.576753397213,2345.882324486839,5200.4221043410025,6281.690507628958,172.75110170235462,,,37427.010065303206,1775.1860537423524,19.757367991671313
1796,39,management,married,tertiary,0,61.79327734561951,1,0,cellular,821.963469089948,2,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,3940.96899250181,3667.9151589237836,17993.56028592396,13698.852891267976,1901.478563927668,2.947161818667535,,61373.72738644688,3786.218489707967,21.08357967912215
1850,45,blue-collar,divorced,secondary,0,-188.7175955787558,1,0,cellular,931.112677703732,3,170,5,failure,1,1.0,0.0,0.0,1.0,0.0,1.0,3492.4468339704977,3319.2612577321747,12790.658319017179,2309.3620612772193,,45.4085961623439,,43309.58263154546,-647.8397052503879,-2.9730194648098625
1907,36,services,,secondary,0,85.01225497999891,1,0,cellular,429.2303277266683,6,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,5748.543104641656,5508.208375246093,10637.477289823704,11481.980675619376,1303.1318376252086,,,84125.44683755371,5334.150331999928,15.875987314559712
1926,33,technician,married,secondary,0,269.80993899728554,1,0,cellular,676.9952843279298,1,355,4,failure,1,1.0,0.0,0.0,1.0,0.0,1.0,,1261.5602116495759,5905.057399533327,5556.559855928415,916.0900257571975,14.230604912976306,,1581.0641672172642,2920.6625998190357,22.92482293915059
1937,31,admin.,married,secondary,0,,1,0,cellular,433.18051126147265,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,8649.847026447862,8421.966860749551,12381.255581423406,-5663.787979962195,,26.875334929387357,,70130.44593598931,4771.651597931815,14.45914939641381
1944,38,services,single,secondary,0,2308.695849481493,1,0,cellular,956.7149919713829,3,-1,0,unknown,1,1.0,,,1.0,0.0,1.0,1929.1865901581957,1863.2771185559018,5334.721925302418,7080.58302939745,2691.6360764831757,37.807609523502435,,71925.76494207885,3379.7232987661914,
1949,38,blue-collar,,primary,0,,1,0,cellular,547.9882796488687,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,1671.0563170071116,,14440.358086500613,11047.906019692276,-619.1281414759997,28.140020100063197,,61374.25111996565,4596.127590597886,-2.753508778455526
1957,26,blue-collar,single,secondary,0,,1,0,cellular,691.0552653419402,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,4363.629487597678,4190.629634979813,10765.859881547218,2811.0203512064763,,42.795476774347186,,90862.62851238958,2796.1359214728,
1990,34,admin.,married,,0,196.30069630541587,1,0,telephone,624.3138982727561,4,366,2,other,1,1.0,0.0,0.0,1.0,0.0,1.0,6993.617956629907,6759.012985993518,12542.131388741287,,217.96920661305057,11.034216492222736,,25571.920900699988,4486.713087027724,31.185048869508023
1991,33,services,,secondary,0,211.7128194732787,1,0,cellular,668.8956864213126,4,-1,0,unknown,1,1.0,1.0,0.0,1.0,0.0,1.0,3126.143677005761,,9376.09376692585,4871.741687551772,96.7683151897661,,,91041.2692237109,-19.14536844808663,21.205507027623117
2009,28,management,single,secondary,0,720.5786792266348,1,0,cellular,528.9981191950336,1,88,1,other,1,,0.0,0.0,1.0,0.0,1.0,6585.627203525001,6444.6931558624665,13701.602310969634,,-90.31463556248036,55.63658472103843,,40318.22871851528,838.5786151089869,7.081960827252381
2010,31,admin.,married,secondary,0,756.7642201344461,1,0,cellular,591.3303129258884,1,329,3,failure,1,1.0,0.0,0.0,1.0,0.0,1.0,1838.9490135921926,1586.8289149072014,11673.704916656927,15936.16391065184,2467.7009252663474,-6.776458473308306,,80315.41450620453,4450.9480089630715,19.308963722321657
2011,23,blue-collar,single,secondary,0,828.8246523137151,1,0,cellular,466.32324714959844,1,-1,0,unknown,1,1.0,0.0,0.0,,0.0,1.0,2368.8080781674835,2249.851795281108,8902.690813556106,9165.050097762662,2860.633443886133,21.396924403803208,,50922.28185441409,2921.6434875810064,42.965338145712266
2012,26,technician,,,0,-23.862625136606376,1,0,cellular,665.4259518633869,1,-1,0,unknown,1,1.0,,1.0,1.0,0.0,1.0,3690.6163515435055,3418.936443748822,11587.252832532402,23392.716684300678,2833.1640096027813,15.847623693494386,,82801.6076161699,,40.54874308497615
2033,31,management,single,tertiary,0,2778.611631160459,1,0,cellular,849.2598377500415,3,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,,5417.272803373785,5977.820676124086,2627.3508563004834,454.2233673796238,14.903105407938188,,81853.15803323447,2640.7754106972843,9.09066112078609
2037,32,management,married,tertiary,0,3452.051753280355,1,0,cellular,1123.5148740341663,5,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,,1008.2361047227007,,4466.412943737534,1617.7133918590189,32.87370993268425,,19006.49993974343,4003.450218690331,38.92768825053386
2038,36,admin.,,secondary,0,180.19968737272742,1,0,cellular,1380.6908271277282,4,374,2,failure,1,0.0,1.0,0.0,1.0,0.0,1.0,3072.22701811044,,17361.9926624578,13110.737825091896,1230.2980068509391,21.61588440889821,,55674.2465733052,1813.312491515162,10.002716618694365
2039,36,blue-collar,married,secondary,0,314.3092279023577,1,0,cellular,740.1287134571902,5,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,,,11602.795917796506,17807.61500821649,1642.2720185425892,29.318873802784793,,57411.89508083559,4020.615193490512,19.233505994523597
2040,38,self-employed,single,tertiary,0,5796.5262445279395,1,0,cellular,434.51535603829547,4,359,5,other,1,1.0,0.0,1.0,1.0,0.0,1.0,3379.1394069804123,3227.0994421911746,233.14370622579918,9674.932721807983,495.4043943635571,-2.523725767995412,,53339.49256720869,1168.4163018626416,10.190765500838811
2048,34,technician,married,tertiary,0,3780.782438709401,1,0,cellular,745.6300290662668,4,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,5887.7297903183,,8184.3200358968625,9121.622274631973,1564.7052073210075,24.80567013950781,,38841.442577144975,2185.4959139600687,
2072,32,blue-collar,,primary,0,12277.548550151576,1,0,cellular,205.84215073022386,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,,,3988.173261795357,10903.30189604794,1758.2544130082974,11.144271591188428,,111840.26104805828,4969.903343438422,10.751834940377277
2081,32,technician,single,tertiary,0,2766.137572835377,1,0,cellular,586.9226458536551,2,-1,0,unknown,1,1.0,,0.0,1.0,0.0,1.0,1581.8220852272273,1389.9413420337833,5492.674877217199,22218.381134389423,1926.7019074269738,-3.3090903344488645,,65854.70694411459,5142.504855691782,23.79708999436653
2096,27,technician,divorced,,0,1994.0853691923392,1,0,cellular,492.6888003224929,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,,2904.2603190766604,6877.312487663706,,212.77679459463627,1.8426305032282322,,103540.44784132649,805.6912794892755,35.8541852242082
2103,27,student,single,tertiary,0,3808.159042416851,1,0,cellular,235.86003963782434,1,98,6,success,1,1.0,0.0,1.0,1.0,0.0,1.0,4602.529561406843,4320.032259475409,12281.446232226479,11763.062212349152,2354.040115937206,24.4182127361507,,44063.83770166483,4677.269494456755,5.950607162389744
2116,28,technician,single,,0,18.82453033895291,1,0,cellular,286.43882418610843,1,40,2,failure,1,1.0,0.0,1.0,1.0,0.0,1.0,,1656.5291543461578,18302.87192713033,8349.844296464504,2107.9371127229383,6.547290032603533,,30269.690683296252,,34.93944766900413
2220,29,technician,,secondary,0,,1,0,cellular,204.63188028103949,1,55,2,failure,1,1.0,0.0,0.0,1.0,0.0,1.0,,3216.202672480712,15413.18615401363,6881.352372296695,922.5948685100834,6.839286185414132,,63702.93780975397,4466.046463438157,-2.6687591385367817
2282,25,self-employed,single,tertiary,0,35.035638220421156,1,0,cellular,189.17456578534546,1,94,1,success,1,1.0,0.0,1.0,1.0,0.0,1.0,4564.24862610669,4264.652990441846,,323.4430621188676,1146.736089960545,42.52050003472674,,44229.37508471122,-797.6241186385896,1.129573149190307
2483,40,admin.,single,secondary,0,116.48667922682662,1,0,cellular,268.49421849606813,1,461,1,success,1,1.0,0.0,1.0,1.0,0.0,1.0,2077.1479273163895,1912.7596243635849,11502.051490995278,12887.75008990573,667.0929660898704,15.023002932620027,,66871.83977729535,765.7786151217751,
2510,29,admin.,,,0,75.73083166531416,1,0,cellular,196.9435991578718,2,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,,,7027.760997908407,10538.019257499654,1411.5140274988792,,,92272.77578029691,1982.055444354277,23.791532196830214
2612,30,management,married,tertiary,0,52.00542135342122,1,0,cellular,217.57527043155008,1,164,4,other,1,,0.0,0.0,1.0,0.0,1.0,6498.14044598132,,15972.74109878497,7218.828750789947,815.6829017062248,-7.069565009201757,,53721.39838054204,2667.028090228081,40.6685697607938
2672,32,admin.,,,0,647.7084328804697,1,0,cellular,375.1852255859043,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,,1.0,3581.0499988360025,3335.284251470235,17125.47187913568,12085.873563884308,1991.9533864338482,8.791681678826627,,50870.283438716186,5847.228858697974,37.077170129684866
2737,24,blue-collar,single,secondary,0,1934.1199752201057,1,0,cellular,175.64294107788444,1,92,5,other,1,1.0,0.0,0.0,1.0,0.0,1.0,4393.675115328098,4152.457634700965,11899.557879376682,14766.508069701376,231.19690151887244,0.5181881798140111,,59134.480307084195,4807.998348007054,47.548030178260944
2784,65,retired,married,secondary,0,668.2640372571714,1,0,cellular,357.69476621907995,1,183,2,success,1,1.0,0.0,1.0,,0.0,1.0,3256.536115506384,3034.2874853990893,18649.130809745846,7920.174672155018,139.5479474456231,28.61287274531508,,69960.08332412847,6150.935817144762,37.49990728447568
3059,33,management,married,tertiary,0,,1,0,cellular,201.13035972284052,1,343,1,other,1,1.0,0.0,0.0,1.0,0.0,1.0,,2356.175352440549,11629.076798031767,7896.4948084416965,1696.1544543013224,50.05780335489525,,83788.43166265501,5413.215796071136,42.43118994761508
3109,44,technician,married,secondary,0,2817.5140934509545,1,0,cellular,708.5147597296433,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,4411.142280127993,4248.706816754335,15438.361955405602,7929.594713740654,681.9826243878049,-2.7774774533015147,,56579.687576872864,2434.272896730311,9.56274083617237
3225,49,services,married,primary,0,1872.0101934704385,1,0,cellular,176.83881172424577,1,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,3891.3187823663256,,6348.168034261028,7481.438756949152,1637.1000488118286,19.172476383743565,,40936.15592751511,2467.3462313625596,4.795214819296458
3261,40,management,single,,0,82.06914866603788,1,0,cellular,263.93747424876494,2,182,6,failure,1,1.0,0.0,0.0,1.0,0.0,1.0,-141.83867382475663,-188.580420054135,13752.501901638232,4707.435025085688,,6.811709896257954,,30099.455858376456,5137.943244402525,34.76345600342491
3270,27,services,single,,0,246.21114293068518,1,0,cellular,435.788235754428,3,-1,0,unknown,1,1.0,0.0,1.0,1.0,0.0,1.0,2093.163444567112,1954.721975543296,9211.25682949547,11413.424543016296,1042.8297371114381,9.829806099634183,,57852.97784423951,3080.7428620456785,38.15556487421771
3385,47,admin.,married,secondary,0,,1,0,cellular,178.4637228100362,4,374,2,success,1,1.0,0.0,1.0,,0.0,1.0,,2307.8087452843283,13302.902567480114,9589.205754714625,2173.238294772367,26.897740014031157,,76042.95632678918,2686.012655013364,18.73076879949381
3394,32,management,single,secondary,0,1097.9439183095442,1,0,cellular,356.3068620786349,1,363,2,success,1,1.0,0.0,0.0,1.0,0.0,1.0,,2683.552742539012,13001.859727828198,14240.23072720688,,20.416528708576607,,72822.51813667276,,39.4095638928176
3404,49,admin.,,secondary,0,,1,0,cellular,254.54714040747945,1,182,2,failure,1,1.0,1.0,0.0,1.0,0.0,1.0,4727.947476562671,,,9855.906813227968,1141.3570443497874,22.350443970799393,,59501.10862648971,,31.11403542184275
3458,30,admin.,single,secondary,0,881.2701077991846,1,0,unknown,409.2977962520239,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,0.0,1.0,2352.059192238839,2169.9769467878364,8249.49444219642,15877.372469178368,2218.599376148592,13.24426354525176,,43196.11362140284,-2581.992813387693,32.72929594197426
3543,53,technician,,,0,231.31647334553944,1,0,cellular,492.85043978266395,1,90,6,success,1,1.0,0.0,1.0,1.0,0.0,1.0,740.0439833285598,513.2062763544795,3212.4592728428984,,2526.6210324350673,21.45145629481102,,64109.42737483291,2087.7648897026293,37.124678917627875
3565,66,management,married,unknown,0,2169.603292450146,1,0,cellular,165.5584927619236,2,90,11,success,1,1.0,0.0,1.0,1.0,0.0,1.0,899.7256388910351,676.8887410670961,15687.778638406047,3522.957736055917,3050.6624743901502,35.48996178952737,,76010.53660821971,1040.2194966763986,20.522932140838105
